Index,Organization Id,Name,Website,Country,Description,Founded,Industry,Number of employees
21,e12C672A0aFd4B7,Rasmussen PLC,https://www.morse.com/,Solomon Islands,Sharable even-keeled definition,2019,Mining / Metals,4184
22,aFCfbA4BD86bbf7,"Snow, Hansen and May",http://www.stewart.com/,Tanzania,Reactive explicit task-force,1987,Motion Pictures / Film,5190
23,25D7F7eEBE78ddb,Cross Group,https://becker-lloyd.com/,Guernsey,Business-focused eco-centric firmware,1998,Religious Institutions,6009
24,C31ec1dFd1Ecf42,Abbott and Sons,http://holloway-soto.info/,Lao People's Democratic Republic,Secured secondary help-desk,1973,Health / Fitness,9416
25,614aB6BAA0bc86d,Little-Cross,https://barker.net/,Madagascar,Reactive non-volatile installation,2021,Tobacco,6907
26,23Ec828eaCE6a25,West-Gallagher,https://www.knapp-bond.org/,Romania,Down-sized uniform matrices,1971,Broadcast Media,3210
27,E730b679b8B7FFf,"Lam, Nicholson and Harding",https://juarez.com/,Malta,Self-enabling system-worthy infrastructure,2004,Logistics / Procurement,3149
28,aEcdC4665DDdf84,"Arellano, Mullen and Shelton",http://esparza.net/,Nauru,Customer-focused 5thgeneration matrix,2015,Education Management,3698
29,071954b2A3BfEbE,Blevins Ltd,https://www.buck-hess.org/,Croatia,Object-based high-level groupware,2014,Management Consulting,3785
30,B67Bbf2c9EF37Df,Mcpherson-Dean,http://www.ward-brooks.com/,Nauru,Public-key asynchronous throughput,1981,Civic / Social Organization,3741
31,2F4377D3A6F1BcA,"Owens, Best and Powers",https://www.petersen.org/,Luxembourg,Decentralized motivating success,2015,Government Relations,4256
32,57DA4DbA92B7A6e,Molina and Sons,http://www.jones.net/,Mexico,Profit-focused demand-driven analyzer,2012,Fine Art,3643
33,aC157c11cA481Ff,"Carter, Ramsey and Benjamin",http://francis.com/,Philippines,Grass-roots zero tolerance task-force,2017,Public Safety,5013
34,1bd9D8A2f7876F6,Hensley Ltd,http://www.shaw.org/,Norfolk Island,Multi-tiered methodical alliance,1978,Information Technology / IT,6555
35,fbCfda0Eadc38c5,Adams LLC,http://mcpherson.com/,Montserrat,Compatible zero-defect instruction set,1988,Primary / Secondary Education,7854
36,CA0eE3e9699f326,Johnson and Sons,https://www.thornton.com/,French Guiana,Expanded context-sensitive pricing structure,1972,Online Publishing,5665
37,ea58Baa8f94E03C,Santos-Mathews,http://www.frazier.info/,Cote d'Ivoire,Focused leadingedge frame,1991,Computer Networking,7930
38,f8fc2eF17FEeDff,Poole-Gross,https://compton.com/,Morocco,Synergized radical access,1992,Animation,7529
39,8Fe1dAF70c4fcC7,Yang-Benitez,http://hester.info/,South Georgia and the South Sandwich Islands,Operative client-server productivity,2001,Construction,4392
40,02ebB7976A30beE,"Schmidt, Fox and Petersen",http://www.meyers-rogers.org/,Zambia,Assimilated background data-warehouse,2010,E - Learning,3231
41,BE0A3969A7D7AB6,Henry and Sons,https://www.crosby.com/,Nepal,Organic mobile matrices,1989,International Trade / Development,2177
42,EC502CA7bE3d421,Li Group,http://powell.com/,Italy,Diverse clear-thinking product,1987,Supermarkets,4042
43,cD21b0e6639d1d1,Mack Group,http://www.mcmahon.com/,Austria,Distributed solution-oriented artificial intelligence,1982,Machinery,7112
44,8e7eF3D4d7e7bC4,"Robinson, Short and Donaldson",http://erickson.com/,Congo,Switchable foreground access,1984,Wireless,5943
45,2DA573A9a71db65,Mckay-Stout,https://www.conway.com/,Uganda,Ergonomic empowering strategy,2021,Telecommunications,8872
46,8b1502EA3260F10,Richard-Kelley,http://perez.com/,Turks and Caicos Islands,Expanded logistical portal,2014,Public Relations / PR,1807
47,8042FF24F85E633,Griffin PLC,http://haas.biz/,Dominica,Balanced secondary access,1995,Human Resources / HR,154
48,A0DAE38a408cfe9,"Cohen, Winters and Webb",https://www.rasmussen.biz/,Uzbekistan,Profound modular contingency,1972,Human Resources / HR,7043
49,eeAc64A5dcDFDeA,Shaffer Inc,https://www.medina-hutchinson.biz/,Belgium,Team-oriented background firmware,2008,Wireless,1205
